date,housing_price_index
1975-01-01,12.71
1976-01-01,16.98
1977-01-01,21.38
1978-01-01,25.43
1979-01-01,30.66
1980-01-01,37.27
1981-01-01,40.52
1982-01-01,37.52
1983-01-01,41.11
1984-01-01,42.75
1985-01-01,47.02
1986-01-01,49.56
1987-01-01,54.0
1988-01-01,62.38
1989-01-01,75.83
1990-01-01,79.41
1991-01-01,78.36
1992-01-01,75.91
1993-01-01,71.84
1994-01-01,70.9
1995-01-01,70.37
1996-01-01,70.96
1997-01-01,72.99
1998-01-01,79.72
1999-01-01,87.27
2000-01-01,100.0
2001-01-01,115.67
2002-01-01,134.74
2003-01-01,149.84
2004-01-01,183.29
2005-01-01,229.05
2006-01-01,238.5
2007-01-01,214.57
2008-01-01,173.73
2009-01-01,155.61
2010-01-01,147.63
2011-01-01,135.8
2012-01-01,132.95
2013-01-01,145.29
2014-01-01,165.5
2015-01-01,175.9
2016-01-01,187.47
2017-01-01,194.35
2018-01-01,202.03
2019-01-01,207.71
2020-01-01,211.39
2021-01-01,236.9
2022-01-01,282.91
2023-01-01,302.61
2024-01-01,320.36
